Alloy ID,Alloy,"Temperature, [C]","Yield Stress, [MPa]","Ultimate Tensile Stress, [MPa]",Tensile elongation [%],Reduction area [%],Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,Hf,Re,V,B,N,O,S,Zr,Y
58,CPJ-10,550,567,646,27,73,85.362,0.15,10.03,0.43,0.11,0.21,1.59,1.37,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,,
59,CPJ-10,600,472,552,39,84,85.362,0.15,10.03,0.43,0.11,0.21,1.59,1.37,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,,
60,CPJ-10,650,397,463,48,87,85.362,0.15,10.03,0.43,0.11,0.21,1.59,1.37,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,,
61,CPJ-7I,23.9,842,994,22,57,85.5,0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,,
62,CPJ-7I,200,769,891,19,58,85.5,0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,,
63,CPJ-7I,300,746,847,17,61,85.5,0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,,
64,CPJ-7I,400,709,809,18,54,85.5,0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,,
65,CPJ-7I,500,632,717,21,69,85.5,0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,,
66,CPJ-7I,600,473,555,37,79,85.5,0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,,
67,CPJ-7I,650,393,458,38,83,85.5,0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,,
68,CPJ-8A,23.9,872,1035,24,60,83.837,0.15,10.64,0.42,0.1,0.28,2.93,0.5,0.513,0.056,0.013,0.001,0.033,,0.266,,,0.205,0.0089,0.0341,0.005,0.006,,
69,CPJ-8A,600,477,555,37,79,83.837,0.15,10.64,0.42,0.1,0.28,2.93,0.5,0.513,0.056,0.013,0.001,0.033,,0.266,,,0.205,0.0089,0.0341,0.005,0.006,,
70,CPJ-8A,650,408,474,34,81,83.837,0.15,10.64,0.42,0.1,0.28,2.93,0.5,0.513,0.056,0.013,0.001,0.033,,0.266,,,0.205,0.0089,0.0341,0.005,0.006,,
71,CPJ-9,23.9,769,942,22,56,84.167,0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,
72,CPJ-9,100,753,887,18.2,54,84.167,0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,
73,CPJ-9,150,740,860,17.3,57,84.167,0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,
74,CPJ-9,200,723.95,841.16,17,61,84.167,0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,
75,CPJ-9,250,717,825,17.7,60,84.167,0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,
76,CPJ-9,300,703.27,799.79,16,59,84.167,0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,
77,CPJ-9,350,690,783,14.9,55,84.167,0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,
78,CPJ-9,400,655,751.53,16,60,84.167,0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,
79,CPJ-9,450,635,715,18.1,60,84.167,0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,
80,CPJ-9,500,582.61,655,15,62,84.167,0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,
81,CPJ-9,550,527.45,596.4,24,76,84.167,0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,
82,CPJ-9,600,435,499,36,80,84.167,0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,
83,CPJ-9,650,350,419,38,85,84.167,0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,
84,CPJ-11,23.9,759,918,22,55,84.887,0.15,10.18,0.41,0.1,0.23,1.59,1.35,0.596,0.051,0.005,0.002,0.042,,0.005,0.16,,0.213,0.0097,0.0215,0.0047,0.0059,,
85,CPJ-11,600,436,499,38,84,84.887,0.15,10.18,0.41,0.1,0.23,1.59,1.35,0.596,0.051,0.005,0.002,0.042,,0.005,0.16,,0.213,0.0097,0.0215,0.0047,0.0059,,
86,CPJ-11,650,338,413,43,89,84.887,0.15,10.18,0.41,0.1,0.23,1.59,1.35,0.596,0.051,0.005,0.002,0.042,,0.005,0.16,,0.213,0.0097,0.0215,0.0047,0.0059,,
87,CPJ-12,23.9,857,1022,21,55,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
88,CPJ-12,100,836,977,17.7,58,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
89,CPJ-12,150,814,947,17.1,53,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
90,CPJ-12,200,792.9,923.9,16,57,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
91,CPJ-12,250,782,900,16.1,59,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
92,CPJ-12,300,758.42,868.74,15,60,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
93,CPJ-12,350,748,850,14.8,53,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
94,CPJ-12,350,745.93,850.3,15,52.1,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
95,CPJ-12,400,710.16,827.37,15,58,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
96,CPJ-12,450,697,785,18.1,55,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
97,CPJ-12,450,694.53,786.2,19.6,57.9,82.266,0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,
