Alloy ID,Alloy,"Temperature, [C]","Yield Stress, [MPa]","Ultimate Tensile Stress, [MPa]",Tensile elongation [%],Reduction area [%],Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,Hf,Re,V,B,N,O,S,Zr,Y
151,CPJ-16,650,401,462,35,85,83.655,0.15,9.98,0.41,0.06,0.31,2.95,1.27,0.458,0.062,0.013,0.001,0.026,,0.355,,,0.208,0.0075,0.0221,0.072,0.0039,,
152,CPJ-17,23.9,844,996,21,63,85.926,0.15,9.97,0.4,0.05,0.31,0.74,1.27,0.468,0.061,0.013,0.001,0.027,,0.361,,,0.21,0.0075,0.0238,0.0074,0.0036,,
153,CPJ-17,200,772.21,889.42,18,67,85.926,0.15,9.97,0.4,0.05,0.31,0.74,1.27,0.468,0.061,0.013,0.001,0.027,,0.361,,,0.21,0.0075,0.0238,0.0074,0.0036,,
154,CPJ-17,300,744.63,848.06,15,64,85.926,0.15,9.97,0.4,0.05,0.31,0.74,1.27,0.468,0.061,0.013,0.001,0.027,,0.361,,,0.21,0.0075,0.0238,0.0074,0.0036,,
155,CPJ-17,400,717.06,813.58,16,64,85.926,0.15,9.97,0.4,0.05,0.31,0.74,1.27,0.468,0.061,0.013,0.001,0.027,,0.361,,,0.21,0.0075,0.0238,0.0074,0.0036,,
156,CPJ-17,500,637.77,723.95,20,72,85.926,0.15,9.97,0.4,0.05,0.31,0.74,1.27,0.468,0.061,0.013,0.001,0.027,,0.361,,,0.21,0.0075,0.0238,0.0074,0.0036,,
157,CPJ-17,550,575.71,651.55,23,75,85.926,0.15,9.97,0.4,0.05,0.31,0.74,1.27,0.468,0.061,0.013,0.001,0.027,,0.361,,,0.21,0.0075,0.0238,0.0074,0.0036,,
158,CPJ-17,600,474,546,31,78,85.926,0.15,9.97,0.4,0.05,0.31,0.74,1.27,0.468,0.061,0.013,0.001,0.027,,0.361,,,0.21,0.0075,0.0238,0.0074,0.0036,,
159,CPJ-17,650,385,446,34,86,85.926,0.15,9.97,0.4,0.05,0.31,0.74,1.27,0.468,0.061,0.013,0.001,0.027,,0.361,,,0.21,0.0075,0.0238,0.0074,0.0036,,
181,CPJ-7J,23.9,814,962,26,66,85.963,0.15,9.11,0.41,0.08,0.27,1.47,1.37,0.476,0.056,0.014,0.001,0.033,,0.346,,,0.206,0.0085,0.0226,0.0028,0.0059,,
182,CPJ-7J,600,446,535,40,75,85.963,0.15,9.11,0.41,0.08,0.27,1.47,1.37,0.476,0.056,0.014,0.001,0.033,,0.346,,,0.206,0.0085,0.0226,0.0028,0.0059,,
183,CPJ-7J,650,373,443,40,82,85.963,0.15,9.11,0.41,0.08,0.27,1.47,1.37,0.476,0.056,0.014,0.001,0.033,,0.346,,,0.206,0.0085,0.0226,0.0028,0.0059,,
223,CPJ-7N,23.9,846.49,999.3,20.2,65.2,85.5782,0.15,9.96,0.41,0.07,0.31,1.47,1.26,0.484,0.056,0.013,0.001,,,,,,0.202,0.0092,0.0222,0.0066,0.0038,,
224,CPJ-7N,100,808,946,18,64,85.5782,0.15,9.96,0.41,0.07,0.31,1.47,1.26,0.484,0.056,0.013,0.001,,,,,,0.202,0.0092,0.0222,0.0066,0.0038,,
225,CPJ-7N,200,774,890,19,67,85.5782,0.15,9.96,0.41,0.07,0.31,1.47,1.26,0.484,0.056,0.013,0.001,,,,,,0.202,0.0092,0.0222,0.0066,0.0038,,
226,CPJ-7N,300,749,854,17,66,85.5782,0.15,9.96,0.41,0.07,0.31,1.47,1.26,0.484,0.056,0.013,0.001,,,,,,0.202,0.0092,0.0222,0.0066,0.0038,,
227,CPJ-7N,400,726,814,17,64,85.5782,0.15,9.96,0.41,0.07,0.31,1.47,1.26,0.484,0.056,0.013,0.001,,,,,,0.202,0.0092,0.0222,0.0066,0.0038,,
228,CPJ-7N,500,644,726,21,70,85.5782,0.15,9.96,0.41,0.07,0.31,1.47,1.26,0.484,0.056,0.013,0.001,,,,,,0.202,0.0092,0.0222,0.0066,0.0038,,
229,CPJ-7N,600,482,554,33,79,85.5782,0.15,9.96,0.41,0.07,0.31,1.47,1.26,0.484,0.056,0.013,0.001,,,,,,0.202,0.0092,0.0222,0.0066,0.0038,,
230,CPJ-7N,650,388,459,34,84,85.5782,0.15,9.96,0.41,0.07,0.31,1.47,1.26,0.484,0.056,0.013,0.001,,,,,,0.202,0.0092,0.0222,0.0066,0.0038,,
231,P92STD,23.9,526.9,697.3,27,71,87.0858,0.1,9.12,0.45,0.1,0.46,0.01,0.46,1.85,0.08,0.01,0.001,0.003,0.001,0.01,,,0.2,,0.042,0.0114,0.0044,,
232,P92STD,200,481,609,22,74,87.0858,0.1,9.12,0.45,0.1,0.46,0.01,0.46,1.85,0.08,0.01,0.001,0.003,0.001,0.01,,,0.2,,0.042,0.0114,0.0044,,
233,P92STD,300,461,571,23,71,87.0858,0.1,9.12,0.45,0.1,0.46,0.01,0.46,1.85,0.08,0.01,0.001,0.003,0.001,0.01,,,0.2,,0.042,0.0114,0.0044,,
234,P92STD,400,440,545,19,69,87.0858,0.1,9.12,0.45,0.1,0.46,0.01,0.46,1.85,0.08,0.01,0.001,0.003,0.001,0.01,,,0.2,,0.042,0.0114,0.0044,,
235,P92STD,500,406,483,27,71,87.0858,0.1,9.12,0.45,0.1,0.46,0.01,0.46,1.85,0.08,0.01,0.001,0.003,0.001,0.01,,,0.2,,0.042,0.0114,0.0044,,
236,P92STD,550,361,419,30,81,87.0858,0.1,9.12,0.45,0.1,0.46,0.01,0.46,1.85,0.08,0.01,0.001,0.003,0.001,0.01,,,0.2,,0.042,0.0114,0.0044,,
237,P92STD,600,298,350,36,87,87.0858,0.1,9.12,0.45,0.1,0.46,0.01,0.46,1.85,0.08,0.01,0.001,0.003,0.001,0.01,,,0.2,,0.042,0.0114,0.0044,,
238,P92STD,650,218,276,43,89,87.0858,0.1,9.12,0.45,0.1,0.46,0.01,0.46,1.85,0.08,0.01,0.001,0.003,0.001,0.01,,,0.2,,0.042,0.0114,0.0044,,
239,P92LBN,23.9,538.27,727.6,28,70,86.6251,0.13,9.65,0.46,0.08,0.46,0.01,0.45,1.8,0.07,0.01,0.001,0.003,0.001,0.002,,,0.2,0.0007,0.0333,0.0089,0.0039,,
240,P92LBN,200,487,631,23,75,86.6251,0.13,9.65,0.46,0.08,0.46,0.01,0.45,1.8,0.07,0.01,0.001,0.003,0.001,0.002,,,0.2,0.0007,0.0333,0.0089,0.0039,,
241,P92LBN,300,472,594,22,74,86.6251,0.13,9.65,0.46,0.08,0.46,0.01,0.45,1.8,0.07,0.01,0.001,0.003,0.001,0.002,,,0.2,0.0007,0.0333,0.0089,0.0039,,
242,P92LBN,400,450,565,20,71,86.6251,0.13,9.65,0.46,0.08,0.46,0.01,0.45,1.8,0.07,0.01,0.001,0.003,0.001,0.002,,,0.2,0.0007,0.0333,0.0089,0.0039,,
243,P92LBN,500,410,495,27,80,86.6251,0.13,9.65,0.46,0.08,0.46,0.01,0.45,1.8,0.07,0.01,0.001,0.003,0.001,0.002,,,0.2,0.0007,0.0333,0.0089,0.0039,,
244,P92LBN,550,368,431,33,84,86.6251,0.13,9.65,0.46,0.08,0.46,0.01,0.45,1.8,0.07,0.01,0.001,0.003,0.001,0.002,,,0.2,0.0007,0.0333,0.0089,0.0039,,
245,P92LBN,600,304,359,40,90,86.6251,0.13,9.65,0.46,0.08,0.46,0.01,0.45,1.8,0.07,0.01,0.001,0.003,0.001,0.002,,,0.2,0.0007,0.0333,0.0089,0.0039,,
246,P92LBN,650,222,279,46,91,86.6251,0.13,9.65,0.46,0.08,0.46,0.01,0.45,1.8,0.07,0.01,0.001,0.003,0.001,0.002,,,0.2,0.0007,0.0333,0.0089,0.0039,,
247,P92HBN,23.9,518.24,689.9,28,71,87.2273,0.08,8.7,0.45,0.42,0.46,0.01,0.46,1.81,0.07,0.01,0.001,0.003,0.004,0.006,,,0.2,0.0036,0.0761,0.0061,0.0042,,
248,P92HBN,200,471,608,24,73,87.2273,0.08,8.7,0.45,0.42,0.46,0.01,0.46,1.81,0.07,0.01,0.001,0.003,0.004,0.006,,,0.2,0.0036,0.0761,0.0061,0.0042,,
249,P92HBN,300,459,582,22,70,87.2273,0.08,8.7,0.45,0.42,0.46,0.01,0.46,1.81,0.07,0.01,0.001,0.003,0.004,0.006,,,0.2,0.0036,0.0761,0.0061,0.0042,,
250,P92HBN,400,435,563,21,67,87.2273,0.08,8.7,0.45,0.42,0.46,0.01,0.46,1.81,0.07,0.01,0.001,0.003,0.004,0.006,,,0.2,0.0036,0.0761,0.0061,0.0042,,
251,P92HBN,500,386,475,31,78,87.2273,0.08,8.7,0.45,0.42,0.46,0.01,0.46,1.81,0.07,0.01,0.001,0.003,0.004,0.006,,,0.2,0.0036,0.0761,0.0061,0.0042,,
252,P92HBN,550,350,409,36,83,87.2273,0.08,8.7,0.45,0.42,0.46,0.01,0.46,1.81,0.07,0.01,0.001,0.003,0.004,0.006,,,0.2,0.0036,0.0761,0.0061,0.0042,,
253,P92HBN,600,273,330,45,89,87.2273,0.08,8.7,0.45,0.42,0.46,0.01,0.46,1.81,0.07,0.01,0.001,0.003,0.004,0.006,,,0.2,0.0036,0.0761,0.0061,0.0042,,
254,P92HBN,650,182,249,57,92,87.2273,0.08,8.7,0.45,0.42,0.46,0.01,0.46,1.81,0.07,0.01,0.001,0.003,0.004,0.006,,,0.2,0.0036,0.0761,0.0061,0.0042,,
268,CPJ-1,23.9,671.8,785.3,25.6,72,85.6427,0.11,10.08,0.48,0.24,0.07,2.93,0.01,0.0247,0.0533,0.0133,0.001,0.0031,0.0946,0.003,,,0.208,0.01,0.0111,0.0092,0.006,,
269,CPJ-1,200,611,695,20.72,69,85.6427,0.11,10.08,0.48,0.24,0.07,2.93,0.01,0.0247,0.0533,0.0133,0.001,0.0031,0.0946,0.003,,,0.208,0.01,0.0111,0.0092,0.006,,
270,CPJ-1,300,596,662,20.72,73,85.6427,0.11,10.08,0.48,0.24,0.07,2.93,0.01,0.0247,0.0533,0.0133,0.001,0.0031,0.0946,0.003,,,0.208,0.01,0.0111,0.0092,0.006,,
271,CPJ-1,400,557,610,18.74,73,85.6427,0.11,10.08,0.48,0.24,0.07,2.93,0.01,0.0247,0.0533,0.0133,0.001,0.0031,0.0946,0.003,,,0.208,0.01,0.0111,0.0092,0.006,,
272,CPJ-1,500,476,522,27.68,82,85.6427,0.11,10.08,0.48,0.24,0.07,2.93,0.01,0.0247,0.0533,0.0133,0.001,0.0031,0.0946,0.003,,,0.208,0.01,0.0111,0.0092,0.006,,
273,CPJ-1,600,288.27,348.6,32,88.6,85.6427,0.11,10.08,0.48,0.24,0.07,2.93,0.01,0.0247,0.0533,0.0133,0.001,0.0031,0.0946,0.003,,,0.208,0.01,0.0111,0.0092,0.006,,
274,CPJ-1,650,206.68,275,40.6,91.1,85.6427,0.11,10.08,0.48,0.24,0.07,2.93,0.01,0.0247,0.0533,0.0133,0.001,0.0031,0.0946,0.003,,,0.208,0.01,0.0111,0.0092,0.006,,
275,CPJ-2,23.9,797.24,1138,17.6,51.8,87.2481,0.1,10.08,0.49,0.26,0.06,0.01,1.53,0.01,0.0571,0.0125,0.001,0.003,0.0968,0.001,,,0.0207,0.01,0.0096,0.0072,0.006,,
276,CPJ-2,200,765.32,1096.27,15,47,87.2481,0.1,10.08,0.49,0.26,0.06,0.01,1.53,0.01,0.0571,0.0125,0.001,0.003,0.0968,0.001,,,0.0207,0.01,0.0096,0.0072,0.006,,
277,CPJ-2,300,744.63,1165.21,17,43,87.2481,0.1,10.08,0.49,0.26,0.06,0.01,1.53,0.01,0.0571,0.0125,0.001,0.003,0.0968,0.001,,,0.0207,0.01,0.0096,0.0072,0.006,,
278,CPJ-2,300,805,1173,15,35,87.2481,0.1,10.08,0.49,0.26,0.06,0.01,1.53,0.01,0.0571,0.0125,0.001,0.003,0.0968,0.001,,,0.0207,0.01,0.0096,0.0072,0.006,,
279,CPJ-2,400,765.32,1144.53,17,39,87.2481,0.1,10.08,0.49,0.26,0.06,0.01,1.53,0.01,0.0571,0.0125,0.001,0.003,0.0968,0.001,,,0.0207,0.01,0.0096,0.0072,0.006,,
280,CPJ-2,500,703.27,1048,19,56,87.2481,0.1,10.08,0.49,0.26,0.06,0.01,1.53,0.01,0.0571,0.0125,0.001,0.003,0.0968,0.001,,,0.0207,0.01,0.0096,0.0072,0.006,,
281,CPJ-2,500,749,1050,19,49,87.2481,0.1,10.08,0.49,0.26,0.06,0.01,1.53,0.01,0.0571,0.0125,0.001,0.003,0.0968,0.001,,,0.0207,0.01,0.0096,0.0072,0.006,,
282,CPJ-2,550,637.77,903.32,19,56,87.2481,0.1,10.08,0.49,0.26,0.06,0.01,1.53,0.01,0.0571,0.0125,0.001,0.003,0.0968,0.001,,,0.0207,0.01,0.0096,0.0072,0.006,,
283,CPJ-2,600,408,484,28,79,87.2481,0.1,10.08,0.49,0.26,0.06,0.01,1.53,0.01,0.0571,0.0125,0.001,0.003,0.0968,0.001,,,0.0207,0.01,0.0096,0.0072,0.006,,
284,CPJ-2,650,224,306,51,88,87.2481,0.1,10.08,0.49,0.26,0.06,0.01,1.53,0.01,0.0571,0.0125,0.001,0.003,0.0968,0.001,,,0.0207,0.01,0.0096,0.0072,0.006,,
285,CPJ-3,23.9,840.93,1177.2,20,56.1,87.0227,0.11,10.1,0.5,0.27,0.07,0.01,1.51,0.01,0.0563,0.0118,0.001,0.003,0.0965,0.0033,,,0.202,0.01,0.0069,0.0045,0.005,,
286,CPJ-3,200,779.11,1130.74,13,35,87.0227,0.11,10.1,0.5,0.27,0.07,0.01,1.51,0.01,0.0563,0.0118,0.001,0.003,0.0965,0.0033,,,0.202,0.01,0.0069,0.0045,0.005,,
287,CPJ-3,300,792.9,1199.69,14,34,87.0227,0.11,10.1,0.5,0.27,0.07,0.01,1.51,0.01,0.0563,0.0118,0.001,0.003,0.0965,0.0033,,,0.202,0.01,0.0069,0.0045,0.005,,
288,CPJ-3,400,737.74,1179,16,30,87.0227,0.11,10.1,0.5,0.27,0.07,0.01,1.51,0.01,0.0563,0.0118,0.001,0.003,0.0965,0.0033,,,0.202,0.01,0.0069,0.0045,0.005,,
289,CPJ-3,400,833,1185,17,16,87.0227,0.11,10.1,0.5,0.27,0.07,0.01,1.51,0.01,0.0563,0.0118,0.001,0.003,0.0965,0.0033,,,0.202,0.01,0.0069,0.0045,0.005,,
290,CPJ-3,500,723.95,1082.48,18,46,87.0227,0.11,10.1,0.5,0.27,0.07,0.01,1.51,0.01,0.0563,0.0118,0.001,0.003,0.0965,0.0033,,,0.202,0.01,0.0069,0.0045,0.005,,
291,CPJ-3,550,644.66,917,17,59,87.0227,0.11,10.1,0.5,0.27,0.07,0.01,1.51,0.01,0.0563,0.0118,0.001,0.003,0.0965,0.0033,,,0.202,0.01,0.0069,0.0045,0.005,,
292,CPJ-3,600,546,688,22,70,87.0227,0.11,10.1,0.5,0.27,0.07,0.01,1.51,0.01,0.0563,0.0118,0.001,0.003,0.0965,0.0033,,,0.202,0.01,0.0069,0.0045,0.005,,
293,CPJ-3,650,166,269,58,92,87.0227,0.11,10.1,0.5,0.27,0.07,0.01,1.51,0.01,0.0563,0.0118,0.001,0.003,0.0965,0.0033,,,0.202,0.01,0.0069,0.0045,0.005,,
294,CPJ-4,23.9,672.67,813.3,22.8,68.1,85.5197,0.15,10.12,0.5,0.27,0.08,2.9,0.02,0.0214,0.0553,0.014,0.001,0.003,0.1025,0.001,,,0.206,0.01,0.0165,0.0036,0.006,,
295,CPJ-4,23.9,1010.3,1389,17.4,53.5,85.5197,0.15,10.12,0.5,0.27,0.08,2.9,0.02,0.0214,0.0553,0.014,0.001,0.003,0.1025,0.001,,,0.206,0.01,0.0165,0.0036,0.006,,
296,CPJ-4,200,923.9,1358.27,14,52,85.5197,0.15,10.12,0.5,0.27,0.08,2.9,0.02,0.0214,0.0553,0.014,0.001,0.003,0.1025,0.001,,,0.206,0.01,0.0165,0.0036,0.006,,
297,CPJ-4,300,944.58,1441,17,49,85.5197,0.15,10.12,0.5,0.27,0.08,2.9,0.02,0.0214,0.0553,0.014,0.001,0.003,0.1025,0.001,,,0.206,0.01,0.0165,0.0036,0.006,,
298,CPJ-4,400,923.9,1365.16,19,52,85.5197,0.15,10.12,0.5,0.27,0.08,2.9,0.02,0.0214,0.0553,0.014,0.001,0.003,0.1025,0.001,,,0.206,0.01,0.0165,0.0036,0.006,,
299,CPJ-4,400,999,1368,20,44,85.5197,0.15,10.12,0.5,0.27,0.08,2.9,0.02,0.0214,0.0553,0.014,0.001,0.003,0.1025,0.001,,,0.206,0.01,0.0165,0.0036,0.006,,
300,CPJ-4,500,889.42,1227.27,16,54,85.5197,0.15,10.12,0.5,0.27,0.08,2.9,0.02,0.0214,0.0553,0.014,0.001,0.003,0.1025,0.001,,,0.206,0.01,0.0165,0.0036,0.006,,
301,CPJ-4,550,758.42,972.16,14,58,85.5197,0.15,10.12,0.5,0.27,0.08,2.9,0.02,0.0214,0.0553,0.014,0.001,0.003,0.1025,0.001,,,0.206,0.01,0.0165,0.0036,0.006,,
302,CPJ-4,600,291.37,363,36,87.7,85.5197,0.15,10.12,0.5,0.27,0.08,2.9,0.02,0.0214,0.0553,0.014,0.001,0.003,0.1025,0.001,,,0.206,0.01,0.0165,0.0036,0.006,,
303,CPJ-4,600,256,349,43,90,85.5197,0.15,10.12,0.5,0.27,0.08,2.9,0.02,0.0214,0.0553,0.014,0.001,0.003,0.1025,0.001,,,0.206,0.01,0.0165,0.0036,0.006,,
304,CPJ-4,650,201.82,285.5,57.6,93.1,85.5197,0.15,10.12,0.5,0.27,0.08,2.9,0.02,0.0214,0.0553,0.014,0.001,0.003,0.1025,0.001,,,0.206,0.01,0.0165,0.0036,0.006,,
305,CPJ-4,650,165,253,52,93,85.5197,0.15,10.12,0.5,0.27,0.08,2.9,0.02,0.0214,0.0553,0.014,0.001,0.003,0.1025,0.001,,,0.206,0.01,0.0165,0.0036,0.006,,
306,CPJ-5,23.9,670.56,830.4,24.9,64.8,85.4972,0.18,10.09,0.51,0.27,0.08,2.93,0.01,0.0189,0.0537,0.0175,0.001,0.003,0.1007,0.001,,,0.204,0.01,0.0159,0.0021,0.006,,
307,CPJ-5,100,1105,1434,15,45,85.4972,0.18,10.09,0.51,0.27,0.08,2.93,0.01,0.0189,0.0537,0.0175,0.001,0.003,0.1007,0.001,,,0.204,0.01,0.0159,0.0021,0.006,,
308,CPJ-5,200,999.74,1454.79,14,49,85.4972,0.18,10.09,0.51,0.27,0.08,2.93,0.01,0.0189,0.0537,0.0175,0.001,0.003,0.1007,0.001,,,0.204,0.01,0.0159,0.0021,0.006,,
309,CPJ-5,300,951.48,1509.95,19,51,85.4972,0.18,10.09,0.51,0.27,0.08,2.93,0.01,0.0189,0.0537,0.0175,0.001,0.003,0.1007,0.001,,,0.204,0.01,0.0159,0.0021,0.006,,
310,CPJ-5,400,951.48,1420.32,18,51,85.4972,0.18,10.09,0.51,0.27,0.08,2.93,0.01,0.0189,0.0537,0.0175,0.001,0.003,0.1007,0.001,,,0.204,0.01,0.0159,0.0021,0.006,,
311,CPJ-5,500,937.69,1289.32,16,48,85.4972,0.18,10.09,0.51,0.27,0.08,2.93,0.01,0.0189,0.0537,0.0175,0.001,0.003,0.1007,0.001,,,0.204,0.01,0.0159,0.0021,0.006,,
312,CPJ-5,500,961,1270,16,50,85.4972,0.18,10.09,0.51,0.27,0.08,2.93,0.01,0.0189,0.0537,0.0175,0.001,0.003,0.1007,0.001,,,0.204,0.01,0.0159,0.0021,0.006,,
313,CPJ-5,550,786,1013.53,14,55,85.4972,0.18,10.09,0.51,0.27,0.08,2.93,0.01,0.0189,0.0537,0.0175,0.001,0.003,0.1007,0.001,,,0.204,0.01,0.0159,0.0021,0.006,,
314,CPJ-5,600,284.41,361,40.2,88.9,85.4972,0.18,10.09,0.51,0.27,0.08,2.93,0.01,0.0189,0.0537,0.0175,0.001,0.003,0.1007,0.001,,,0.204,0.01,0.0159,0.0021,0.006,,
315,CPJ-5,650,196.24,286.9,46.6,93.4,85.4972,0.18,10.09,0.51,0.27,0.08,2.93,0.01,0.0189,0.0537,0.0175,0.001,0.003,0.1007,0.001,,,0.204,0.01,0.0159,0.0021,0.006,,
316,CPJ-5,650,147,242,61,96,85.4972,0.18,10.09,0.51,0.27,0.08,2.93,0.01,0.0189,0.0537,0.0175,0.001,0.003,0.1007,0.001,,,0.204,0.01,0.0159,0.0021,0.006,,
317,CPJ-6,23.9,849.32,1000.6,19,62.5,85.4117,0.18,10.11,0.51,0.26,0.08,2.93,0.01,0.0367,0.054,0.017,0.001,0.0027,0.01,0.1448,,,0.206,0.01,0.0161,0.003,0.006,,
318,CPJ-6,100,1157,1473,16,48,85.4117,0.18,10.11,0.51,0.26,0.08,2.93,0.01,0.0367,0.054,0.017,0.001,0.0027,0.01,0.1448,,,0.206,0.01,0.0161,0.003,0.006,,
319,CPJ-6,200,1048,1496.16,14,46,85.4117,0.18,10.11,0.51,0.26,0.08,2.93,0.01,0.0367,0.054,0.017,0.001,0.0027,0.01,0.1448,,,0.206,0.01,0.0161,0.003,0.006,,
320,CPJ-6,200,1227,1498,13,45,85.4117,0.18,10.11,0.51,0.26,0.08,2.93,0.01,0.0367,0.054,0.017,0.001,0.0027,0.01,0.1448,,,0.206,0.01,0.0161,0.003,0.006,,
321,CPJ-6,300,999.74,1530.64,18,49,85.4117,0.18,10.11,0.51,0.26,0.08,2.93,0.01,0.0367,0.054,0.017,0.001,0.0027,0.01,0.1448,,,0.206,0.01,0.0161,0.003,0.006,,
322,CPJ-6,400,985.95,1447.9,18,47,85.4117,0.18,10.11,0.51,0.26,0.08,2.93,0.01,0.0367,0.054,0.017,0.001,0.0027,0.01,0.1448,,,0.206,0.01,0.0161,0.003,0.006,,
323,CPJ-6,400,1090,1454,19,45,85.4117,0.18,10.11,0.51,0.26,0.08,2.93,0.01,0.0367,0.054,0.017,0.001,0.0027,0.01,0.1448,,,0.206,0.01,0.0161,0.003,0.006,,
324,CPJ-6,500,958.37,1316.9,16,49,85.4117,0.18,10.11,0.51,0.26,0.08,2.93,0.01,0.0367,0.054,0.017,0.001,0.0027,0.01,0.1448,,,0.206,0.01,0.0161,0.003,0.006,,
325,CPJ-6,550,765.32,979.06,15,56,85.4117,0.18,10.11,0.51,0.26,0.08,2.93,0.01,0.0367,0.054,0.017,0.001,0.0027,0.01,0.1448,,,0.206,0.01,0.0161,0.003,0.006,,
326,CPJ-6,550,701,907,18,62,85.4117,0.18,10.11,0.51,0.26,0.08,2.93,0.01,0.0367,0.054,0.017,0.001,0.0027,0.01,0.1448,,,0.206,0.01,0.0161,0.003,0.006,,
327,CPJ-6,600,451.47,526.3,25.3,78.1,85.4117,0.18,10.11,0.51,0.26,0.08,2.93,0.01,0.0367,0.054,0.017,0.001,0.0027,0.01,0.1448,,,0.206,0.01,0.0161,0.003,0.006,,
328,CPJ-6,600,356,452,35,78,85.4117,0.18,10.11,0.51,0.26,0.08,2.93,0.01,0.0367,0.054,0.017,0.001,0.0027,0.01,0.1448,,,0.206,0.01,0.0161,0.003,0.006,,
329,CPJ-6,650,370.33,444.4,28.3,79.3,85.4117,0.18,10.11,0.51,0.26,0.08,2.93,0.01,0.0367,0.054,0.017,0.001,0.0027,0.01,0.1448,,,0.206,0.01,0.0161,0.003,0.006,,
330,TAF,23.9,733,902,23.3,63.6,86.4806,0.18,10.55,0.51,0.27,0.06,0.01,1.51,0.01,0.1467,0.0136,0.001,0.003,0.0088,0.001,,,0.206,0.02,0.0046,0.0137,0.006,,
331,TAF,200,671,804,19,63,86.4806,0.18,10.55,0.51,0.27,0.06,0.01,1.51,0.01,0.1467,0.0136,0.001,0.003,0.0088,0.001,,,0.206,0.02,0.0046,0.0137,0.006,,
332,TAF,300,659,769,17,61,86.4806,0.18,10.55,0.51,0.27,0.06,0.01,1.51,0.01,0.1467,0.0136,0.001,0.003,0.0088,0.001,,,0.206,0.02,0.0046,0.0137,0.006,,
333,TAF,400,626,729,18,66,86.4806,0.18,10.55,0.51,0.27,0.06,0.01,1.51,0.01,0.1467,0.0136,0.001,0.003,0.0088,0.001,,,0.206,0.02,0.0046,0.0137,0.006,,
334,TAF,500,561,642,22,74,86.4806,0.18,10.55,0.51,0.27,0.06,0.01,1.51,0.01,0.1467,0.0136,0.001,0.003,0.0088,0.001,,,0.206,0.02,0.0046,0.0137,0.006,,
335,TAF,600,395,467,49.2,87.1,86.4806,0.18,10.55,0.51,0.27,0.06,0.01,1.51,0.01,0.1467,0.0136,0.001,0.003,0.0088,0.001,,,0.206,0.02,0.0046,0.0137,0.006,,
336,TAF,650,299,376,47.5,90.8,86.4806,0.18,10.55,0.51,0.27,0.06,0.01,1.51,0.01,0.1467,0.0136,0.001,0.003,0.0088,0.001,,,0.206,0.02,0.0046,0.0137,0.006,,
359,HR58-T1,550,341.2,369,28.1,67.2,82.19,0.139,9.02,<0.010,0.28,1.13,2.94,0.71,<0.010,<0.010,0.027,,3.03,0.54,<0.010,,,<0.010,,,,,,
360,HR58-T1,600,240.3,262,50.9,92.4,82.19,0.139,9.02,<0.010,0.28,1.13,2.94,0.71,<0.010,<0.010,0.027,,3.03,0.54,<0.010,,,<0.010,,,,,,
361,HR58-T1,650,146,167,73.9,74.5,82.19,0.139,9.02,<0.010,0.28,1.13,2.94,0.71,<0.010,<0.010,0.027,,3.03,0.54,<0.010,,,<0.010,,,,,,
362,HR58-T1,25,591.34,742.3,23.2,52.1,82.19,0.139,9.02,<0.010,0.28,1.13,2.94,0.71,<0.010,<0.010,0.027,,3.03,0.54,<0.010,,,<0.010,,,,,,
363,HR58-T1,350,478.41,587,8.2,17.5,82.19,0.139,9.02,<0.010,0.28,1.13,2.94,0.71,<0.010,<0.010,0.027,,3.03,0.54,<0.010,,,<0.010,,,,,,
364,HR58-T1,500,391.66,453.8,25,54.7,82.19,0.139,9.02,<0.010,0.28,1.13,2.94,0.71,<0.010,<0.010,0.027,,3.03,0.54,<0.010,,,<0.010,,,,,,
365,HR59-T1,550,337.1,376,31.2,71.1,81.88,0.133,9.01,0.24,0.28,1.14,2.95,0.71,<0.010,<0.010,0.027,,3.04,0.59,<0.010,,,<0.010,,,,,,
366,HR59-T1,600,242,265,60.7,75.1,81.88,0.133,9.01,0.24,0.28,1.14,2.95,0.71,<0.010,<0.010,0.027,,3.04,0.59,<0.010,,,<0.010,,,,,,
367,HR59-T1,650,139.1,164,79.6,74.9,81.88,0.133,9.01,0.24,0.28,1.14,2.95,0.71,<0.010,<0.010,0.027,,3.04,0.59,<0.010,,,<0.010,,,,,,
368,HR60-T1,550,360,401,37,74.2,81.68,0.106,9.02,0.49,0.28,1.14,2.94,0.71,<0.010,<0.010,0.031,,3.02,0.59,<0.010,,,<0.010,,,,,,
369,HR60-T1,600,250.3,278,71.4,80.2,81.68,0.106,9.02,0.49,0.28,1.14,2.94,0.71,<0.010,<0.010,0.031,,3.02,0.59,<0.010,,,<0.010,,,,,,
370,HR60-T1,650,123.9,152,129.4,85.9,81.68,0.106,9.02,0.49,0.28,1.14,2.94,0.71,<0.010,<0.010,0.031,,3.02,0.59,<0.010,,,<0.010,,,,,,
371,HR61-T1,550,476.1,551,33.9,56.4,81.08,0.199,9.07,0.98,0.29,1.14,2.92,0.71,<0.010,<0.010,0.026,,3.06,0.53,<0.010,,,<0.010,,,,,,
372,HR61-T1,600,205.6,255,92.8,63.8,81.08,0.199,9.07,0.98,0.29,1.14,2.92,0.71,<0.010,<0.010,0.026,,3.06,0.53,<0.010,,,<0.010,,,,,,
